City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,18.220000000000027,77,20,7.72,PT,1706980777
1,broome,42.2506,-75.833,1.410000000000025,78,40,4.12,US,1706980778
2,stephenville,32.2207,-98.2023,15.689999999999998,58,0,3.13,US,1706980568
3,minas de marcona,-15.2119,-75.1103,23.390000000000043,62,70,4.4,PE,1706980778
4,cabo san lucas,22.8909,-109.9124,23.120000000000005,55,0,8.75,MX,1706980669
5,maracas,-13.4411,-40.4308,28.74000000000001,34,89,3.02,BR,1706980778
6,adamstown,-25.066,-130.1015,24.54000000000002,76,87,1.72,PN,1706980714
7,bethel,41.3712,-73.414,4.4500000000000455,56,0,6.17,US,1706980779
8,twon-brass,4.3151,6.2418,28.920000000000016,64,68,4.81,NG,1706980779
9,fada,9.5667,8.3,30.879999999999995,14,2,0.14,NG,1706980779
10,bo phloi,14.3236,99.5161,25.99000000000001,70,26,1.41,TH,1706980779
11,grytviken,-54.2811,-36.5092,8.060000000000002,95,100,4.95,GS,1706980779
12,belyy yar,53.6039,91.3903,-16.060000000000002,92,40,1.0,RU,1706980779
13,hammerfest,70.6634,23.6821,-3.75,80,100,4.12,NO,1706980779
14,nova sintra,14.8667,-24.7167,21.32000000000005,67,63,5.73,CV,1706980574
15,waitangi,-43.9535,-176.5597,13.79000000000002,74,21,10.72,NZ,1706980714
16,port-aux-francais,-49.35,70.2167,7.560000000000002,77,52,2.52,TF,1706980780
17,edinburgh of the seven seas,-37.0676,-12.3116,16.210000000000036,72,30,10.14,SH,1706980780
18,mbaiki,3.8678,17.9892,29.010000000000048,27,93,0.68,CF,1706980780
19,san patricio,28.017,-97.5169,20.650000000000034,61,41,6.67,US,1706980781
20,blackmans bay,-43.0167,147.3167,15.850000000000023,85,100,1.74,AU,1706980781
21,mount gambier,-37.8333,140.7667,13.450000000000045,94,3,1.36,AU,1706980781
22,bilibino,68.0546,166.4372,-28.149999999999977,76,0,3.36,RU,1706980746
23,georgetown,5.4112,100.3354,28.960000000000036,86,20,1.54,MY,1706980683
24,wotho,10.1657,166.0102,26.590000000000032,83,36,9.59,MH,1706980781
25,nushki,29.5542,66.0215,11.930000000000007,40,36,3.37,PK,1706980781
26,malvan,16.0667,73.4667,24.560000000000002,67,80,2.55,IN,1706980782
27,xi'an,34.2583,108.9286,-2.5499999999999545,72,100,0.97,CN,1706980782
28,walvis bay,-22.9575,14.5053,23.53000000000003,73,90,0.0,NA,1706980782
29,enewetak,11.3474,162.3373,26.5,84,53,9.82,MH,1706980782
30,acajutla,13.5928,-89.8275,28.53000000000003,63,13,3.77,SV,1706980782
31,santa elena de uairen,4.6167,-61.1333,31.960000000000036,32,18,3.81,VE,1706980782
32,papatowai,-46.5619,169.4708,9.200000000000045,71,86,4.12,NZ,1706980783
33,ha'il,27.5219,41.6907,12.010000000000048,32,0,3.09,SA,1706980783
34,thompson,55.7435,-97.8558,-1.9099999999999682,100,100,4.12,CA,1706980783
35,iqaluit,63.7506,-68.5145,-25.149999999999977,69,20,5.14,CA,1706980783
36,tiksi,71.6872,128.8694,-35.859999999999985,100,100,2.36,RU,1706980580
37,chonchi,-42.6128,-73.8092,20.75,38,39,1.22,CL,1706980725
38,nabire,-3.3667,135.4833,24.640000000000043,93,97,1.1,ID,1706980784
39,puerto baquerizo moreno,-0.9,-89.6,28.55000000000001,84,40,7.72,EC,1706980585
40,gadzhiyevo,69.2551,33.3362,-6.0499999999999545,79,99,12.07,RU,1706980784
41,whitehorse,60.7161,-135.0538,-29.569999999999965,76,75,2.06,CA,1706980784
42,longyearbyen,78.2186,15.6401,-9.089999999999975,67,0,6.69,SJ,1706980784
43,portland,45.5234,-122.6762,8.230000000000018,91,40,0.89,US,1706980784
44,kuanda,56.3161,116.0806,-29.329999999999984,96,66,0.57,RU,1706980784
45,bredasdorp,-34.5322,20.0403,24.810000000000002,71,87,6.47,ZA,1706980785
46,khabarovsk,48.4808,135.0928,-21.409999999999968,77,0,4.0,RU,1706980785
47,kodiak,57.79,-152.4072,-4.269999999999982,80,100,0.0,US,1706980511
48,auerbach,50.5167,12.4,7.460000000000036,85,100,6.28,DE,1706980785
49,vorgashor,67.5833,63.95,-18.74999999999997,92,100,4.79,RU,1706980785
50,invercargill,-46.4,168.35,10.57000000000005,79,95,3.13,NZ,1706980712
